,text,verbose label,course label,fine label
103,Vilken typ av djur fanns i den paleozoiska eran?,ENTY:animal,2,6
104,Vilket av följande var Rhodes Scholar?,HUM:ind,5,30
105,Vem utgjorde det nu nedlagda serietidningslaget känt som Champions?,HUM:ind,5,30
106,Hur gör man en paintball?,DESC:manner,0,4
107,Vilken stat i USA är Fort Knox i?,LOC:state,4,36
108,Vad kallas en kaninhona?,ENTY:animal,2,6
109,Var är den högsta punkten i Japan?,LOC:mount,4,34
110,Var kommer chihuahuas ifrån?,DESC:desc,0,3
111,"Var går Barney Rubble till jobbet efter att han släppt Fred i den tecknade serien ""Flintstones""?",LOC:other,4,35
112,Vilka är världens fyra hav?,LOC:other,4,35
113,Vilket är det enda verket av Michelangelo som bär hans signatur?,ENTY:cremat,2,9
114,Vilken är den största ormen i världen?,ENTY:animal,2,6
115,I vilket medium anses Stuart Hamblen vara den första sjungande cowboyen?,ENTY:cremat,2,9
116,Var på internet kan jag hitta en sångtextdatabas liknande International Lyrics Server?,LOC:other,4,35
117,Hur mycket pengar gör en stämning för ryggskada?,NUM:money,3,41
118,Vad är det vanliga namnet på acetylsalicylsyra?,ENTY:termeq,2,25
119,"Vad betyder Georgetown ""Hoya""?",DESC:def,0,2
120,"Var kan jag hitta en lista över ""klassiska"" böcker som ska läsas i femte och sjätte klass?",LOC:other,4,35
121,Vilka två produkter använder en tiger som symbol?,ENTY:product,2,19
122,Hur tillkännages världen till valet av en ny påve?,DESC:manner,0,4
123,Hur lång tid tar det för ditt blod att göra en hel resa genom kroppen?,NUM:period,3,45
124,Hur har kycklingar baby kycklingar?,DESC:manner,0,4
125,Vad är det historiska förhållandet mellan katolska kyrkan och bingo?,DESC:desc,0,3
126,Hur namngavs grundämnet kalcium?,DESC:manner,0,4
127,Vilken crooner gick med i Andrews Sisters för Pistol Packin Mama?,HUM:ind,5,30
128,"Vilket pianoföretag hävdar att dess produkt är ""De odödligas instrument""?",HUM:gr,5,29
129,När ägde Bounty myteriet rum?,NUM:date,3,39
130,Vilken roman inspirerade filmen BladeRunner?,ENTY:cremat,2,9
131,Vad är en transistor?,DESC:def,0,2
132,Vad är en film med Jude Law i huvudrollen?,ENTY:cremat,2,9
133,Vilken Hollywood-hund dog i armarna på Jean Harlow 1932?,ENTY:animal,2,6
134,Vilka är de vanligaste elementen i jordskorpan?,ENTY:substance,2,22
135,"Hur mycket skulle det kosta att köpa ett partytält på 2 meter, med sidor?",NUM:money,3,41
136,Vilken skådespelerska har fått flest Oscar-nomineringar?,HUM:ind,5,30
137,Vad är aktier?,DESC:def,0,2
138,Vad är gymnofobi?,DESC:def,0,2
139,Hur många år tar det för fossiler att bildas?,NUM:count,3,38
140,Var är Orinoco?,LOC:other,4,35
141,"Vad hette ""Little Rascals"" hunden?",ENTY:animal,2,6
142,"Vilken stad har Penn's Landing, vid floden Delaware?",LOC:city,4,32
143,Vilken Broadway-musikal inspirerades av Cervantes Don Quijote?,ENTY:cremat,2,9
144,Vad är ursprunget av ordet katt?,DESC:desc,0,3
145,Hur många gisslan dödades i Entebbe-razzian?,NUM:count,3,38
146,Hur kan du höja din IQ?,DESC:manner,0,4
147,Vad står INRI för när det används på Jesu kors?,ABBR:exp,1,1
148,Vem producerar Spumante?,HUM:gr,5,29
149,Vem tjänar sina pengar på det hårda sättet?,HUM:ind,5,30
150,Vem grundade Folkets tempelkommun?,HUM:ind,5,30
151,Vilken idrottare tjänar mest pengar på försäljning av sportvaror?,HUM:ind,5,30
152,Hur många böjningar finns det i ett vanligt gem?,NUM:count,3,38
153,Vem upptäckte el?,HUM:ind,5,30
154,Vilken del av din kropp innehåller corpus callosum?,ENTY:body,2,7
155,Vem var den första amerikanen i rymden?,HUM:ind,5,30
156,Vilka två sydamerikanska länder gränsar inte till Brasilien?,LOC:country,4,33
157,Vilket album satte The Beatles på omslaget till Time 1967?,ENTY:cremat,2,9
158,"Vilken dikt innehåller raden ""bli gammal hos mig det bästa är ännu"".",ENTY:cremat,2,9
159,Vad är en tandrotkanal?,DESC:def,0,2
160,Vilket krig inträffade Wanna-Go-Home-upploppen efter?,ENTY:event,2,12
161,Vilken är den mest trafikerade flygsäsongen?,NUM:date,3,39
162,Vad heter den färgade delen av ögat?,ENTY:body,2,7
163,Vad är krokmaskar?,DESC:def,0,2
164,Var spelas Rose Bowl?,LOC:other,4,35
165,Vilken japansk biltillverkare hade sin största försäljningsandel på hemmamarknaden?,HUM:gr,5,29
166,Vem är borgmästaren i Marbella?,HUM:ind,5,30
167,"Vilken solblästrad, 14 mil bred dal ligger strax norr om Mojaveöknen?",LOC:other,4,35
168,Vilket år blev Thatcher premiärminister?,NUM:date,3,39
169,Hur många månader tar det månen att kretsa runt jorden?,NUM:count,3,38
170,Var är de 49 stegen?,LOC:other,4,35
171,Vilket år valdes De Gaulle till Frankrikes president?,NUM:date,3,39
172,"Vem sjunger temat för ""Dawson's Creek"" och ""Felicity""?",HUM:ind,5,30
173,"Vem regisserade ""Jaws""?",HUM:ind,5,30
174,På vilket TV-program kunde Tom Terrific hittas?,ENTY:cremat,2,9
175,Vilken indianstam kämpar F Troop ständigt med?,HUM:gr,5,29
176,Var kom Indian Pudding ifrån?,DESC:desc,0,3
177,"Varför säger vissa klädmärken ""Använd ett icke-klorblekmedel""?",DESC:reason,0,5
178,Hur många kolonier var inblandade i den amerikanska revolutionen?,NUM:count,3,38
179,Vad heter staden Maurizio Pellegrin bor i?,LOC:city,4,32
180,Var kan jag hitta bildvisningar för hur man bygger ett mycket enkelt trädhus?,LOC:other,4,35
181,"Vilket spelbräde visar Irkutsk, Yakutsk och Kamchatka som territorier?",ENTY:sport,2,21
182,Vad heter verkställande direktören för Apricot Computer?,HUM:ind,5,30
183,Vad är ockupationen av Nicholas Cage?,HUM:title,5,31
184,Varför ger hästskor tur?,DESC:reason,0,5
185,"Vad är 401, K, planen?",DESC:def,0,2
186,Vad orsakar lunginflammation?,DESC:reason,0,5
187,Vilka är de tre vintermånaderna på södra halvklotet?,NUM:date,3,39
188,Vad betyder gringo?,DESC:def,0,2
189,Vilket land innehåller Afrikas nordligaste punkt?,LOC:country,4,33
190,"Vilken terapi försöker framkalla ""urskriket""?",ENTY:dismed,2,11
191,Var ligger Kalahari-öknen?,LOC:other,4,35
192,Vilken polisavdelning i Ventura County beslagtog den största kokaintransporten i dess historia?,HUM:gr,5,29
193,Vilken stad kallas ibland Gotham?,LOC:city,4,32
194,Vad dinglar över tungan från gommen?,ENTY:body,2,7
195,Vem skapade Dennis the Menace?,HUM:ind,5,30
196,Vilken dummer fick en hedersexamen från Northwestern University?,HUM:ind,5,30
197,När publicerades den första Wall Street Journal?,NUM:date,3,39
198,Vilka länder har de största skogsområdena?,LOC:country,4,33
199,Hur startar jag ett webbaserat företag?,DESC:manner,0,4
200,Namnge Alvins bröder.,HUM:ind,5,30
201,Vad är Styloidprocessen för Eagle syndrom?,DESC:def,0,2
202,Hur dog Jayne Mansfield?,DESC:manner,0,4
203,När ägde prins Andrew och Fergies kungliga bröllop rum?,NUM:date,3,39
204,"Vilken skådespelare sa i A Day at the Races: ""Antingen är han död eller så har min klocka stannat""?",HUM:ind,5,30
205,Vilken utforskare fick smeknamnet Iberias pilot?,HUM:ind,5,30
206,CNN började sända under vilket år?,NUM:date,3,39
207,Vad heter en boll som träffar foul pole?,ENTY:termeq,2,25
208,Vad får hamburgare att smaka som steakburgare?,DESC:reason,0,5
209,Vilket företag skapade webbläsaren Mosaic?,HUM:gr,5,29
210,Vad kallas ritualerna för omskärelsen av ett nyfött barn i judendomen?,ENTY:event,2,12
211,Vad var utbildningssystemet på 1960-talet?,ENTY:other,2,17
212,Vilken sydamerikansk stad har världens högsta kommersiella landningsfält?,LOC:city,4,32
213,Hur kan jag ta reda på vilka städer som har kabelmodemåtkomst?,DESC:manner,0,4
214,Vad är Betsy Ross känd för?,DESC:reason,0,5
215,Hur många hajarter finns det?,NUM:count,3,38
216,"Vad är ""snoogans""?",DESC:def,0,2
217,Hur många människor finns det i världen?,NUM:count,3,38
218,Vilka buskar kan planteras som är säkra från rådjur?,ENTY:plant,2,18
219,Vilka organisationers kontor bröts in vid Watergate 1972?,HUM:gr,5,29
220,Vad är designen för fartyget Titanic?,DESC:desc,0,3
221,Vad står SOS för?,ABBR:exp,1,1
222,Namnge en teknik som ofta används för att upptäcka fosterskador?,ENTY:techmeth,2,24
223,Vad är det dagliga behovet av folsyra för en blivande mamma?,DESC:desc,0,3
224,"Vad är ""7-minuters cigarett""?",DESC:def,0,2
225,Vilka fyra former förekommer guld i?,ENTY:other,2,17
226,Vad är arealet av vingården Chappellet?,NUM:volsize,3,48
227,"Hur säger du ordet ""qigong"" korrekt?",DESC:manner,0,4
228,När dog Beethoven?,NUM:date,3,39
229,Hur mycket kostar en ny järnvägskolbil?,NUM:money,3,41
230,Vilka två europeiska länder gick in i amerikanska självständighetskriget mot britterna?,LOC:country,4,33
231,Vad är filmskaparnas samarbete?,DESC:def,0,2
232,Vilken rysk kompositörs Preludie i C Sharp Minor gav honom berömmelse och förmögenhet?,HUM:ind,5,30
233,Vad orsakade Harry Houdinis död?,DESC:reason,0,5
234,"Vem var mor till mannen som inte skulle bli kung, hertigen av Windsor?",HUM:ind,5,30
235,Hur många varv gör en vanlig LP på tre minuter?,NUM:count,3,38
236,Vad heter det högsta berget i världen?,LOC:mount,4,34
237,Var kan jag hitta en recension av Nightmare on Elm Street i en filmjournal?,LOC:other,4,35
238,Vad är det långsammaste olympiska simningssättet?,ENTY:techmeth,2,24
239,Vad hette den första ryska astronauten som gjorde en rymdpromenad?,HUM:ind,5,30
240,Vilken sjukdom överförs av myggan Anopheles?,ENTY:dismed,2,11
241,"Vilket rom är så ""blandbart"" att det är en bar med ett märke?",ENTY:food,2,13
242,Hur många sydamerikanska länder har bokstaven Z i sina namn?,NUM:count,3,38
243,Vad är innehållet i proposition 98?,DESC:def,0,2
244,Var föddes George Washington?,LOC:other,4,35
245,"Hur många människor på marken dödades från bombningen av Pan Am Flight 103 över Lockerbie, Skottland, 21 december, CD.",NUM:count,3,38
246,"Vem skrev ""To Kill a Mockingbird""?",HUM:ind,5,30
247,Vad är paracetamol?,DESC:def,0,2
248,Vilka är krafterna och svagheterna i Green Lantern's ring?,DESC:desc,0,3
249,Vilken mygga suger blod och överför malaria?,ENTY:animal,2,6
250,När byggdes det första stålverket i USA?,NUM:date,3,39
251,Vilken diminutiv amerikansk gymnast stal showen vid OS 1984?,HUM:ind,5,30
252,Vad är ursprunget till namnet Katie?,DESC:desc,0,3
253,Vilka skolor i Washington har vunnit pris för bästa skola?,HUM:gr,5,29
254,När upprättades Berlinmuren?,NUM:date,3,39
255,Vem är Terrence Malick?,HUM:desc,5,28
256,Vilket instrument är Ray Charles mest känd för att spela?,ENTY:instru,2,14
257,"Vad betyder det latinska stridsropet: Ad arma, ad arma.",DESC:def,0,2
258,Vad är maskoten för Notre Dame University?,ENTY:other,2,17
259,Vilket hotell i Las Vegas brann i november 1980 med förlusten av 84 personers liv?,LOC:other,4,35
260,När fick Mount St. Helen senast ett betydande utbrott?,NUM:date,3,39
261,CNN är förkortningen för vad?,ABBR:exp,1,1
262,När började första världskriget?,NUM:date,3,39
263,Hur många fot är det till en famn?,NUM:count,3,38
264,Vad är en Kanada två-öre svart?,DESC:def,0,2
265,Vilken europeisk stad bor Nicois i?,LOC:city,4,32
266,Hur kan jag ta reda på vilket år en Beanie Baby introducerades?,DESC:manner,0,4
267,Vad är den klassiska definitionen av tragisk hjälte?,DESC:def,0,2
268,Vad är Microsofts Windows 3 skyldig sin framgång?,ENTY:other,2,17
269,Vem var Afghanistans president 1994?,HUM:ind,5,30
270,"Vilka är andra sätt att få bristningar förutom graviditet, viktminskning och tyngdlyftning?",ENTY:techmeth,2,24
271,Vad åt brontosaurus?,ENTY:food,2,13
272,Vilka färger på flaskor kommer bra Rhine-viner i?,ENTY:color,2,8
273,"Vem var huvudskådespelerskan i filmen ""Sleepless in Seattle""?",HUM:ind,5,30
274,Vem var USA:s 16:e president?,HUM:ind,5,30
275,Vilka är de två sönerna till Ozzie och Harriet Nelson?,HUM:ind,5,30
276,Vad är molybden?,DESC:def,0,2
277,När är Boxing Day?,NUM:date,3,39
278,Vilken är den lägsta nivån i det amerikanska rättsväsendet?,ENTY:other,2,17
279,När utkämpades slaget vid Somme?,NUM:date,3,39
280,Hur många människor dödade Randy Craft?,NUM:count,3,38
281,Vilket är Kanadas officiella djur?,ENTY:animal,2,6
282,"När regisserade Spielberg ""Jaws""?",NUM:date,3,39
283,Hur stor är den största akita?,NUM:volsize,3,48
284,Vilket djur har de största ögonen?,ENTY:animal,2,6
285,Vad är Kaliforniens huvudstad?,LOC:city,4,32
286,"Vem var författaren till boken om datorhackare som heter ""The Cuckoo's Egg: Tracking a Spy Through the Maze of Computer Spionage""?",HUM:ind,5,30
287,Vem var grundare av Pink Floyd-bandet?,HUM:ind,5,30
288,Vilket europeiskt land är hem till den ölproducerande staden Budweis?,LOC:country,4,33
289,Hur hittar jag saldot på mitt socialförsäkringskonto?,DESC:manner,0,4
290,Vad är historien om alla hjärtans dagskort?,DESC:desc,0,3
291,Var föddes Christopher Columbus?,LOC:other,4,35
292,Vad kallar italienarna Florens?,ENTY:termeq,2,25
293,Hur kommer man till toppen av Eiffeltornet?,DESC:manner,0,4
294,"Vad står ""PSI"" för?",ABBR:exp,1,1
295,Vilket hav kallade romarna mare nostrum?,LOC:other,4,35
296,Vad är ordet för en satsning innan kort delats ut?,ENTY:termeq,2,25
297,Vilket kom först enligt 1 Mosebok 1:2:22 - kycklingen eller ägget?,ENTY:animal,2,6
298,Vilken stad bodde Flintstones i?,LOC:city,4,32
299,Vad är latin för inkompetent?,ENTY:termeq,2,25
300,Vilka kemikalier används vid dödlig injektion?,ENTY:dismed,2,11
301,Vilket leksaksföretag är världens främsta tillverkare av kvinnliga kläder?,HUM:gr,5,29
302,"Vilket brädspel spelar en ""wood-pusher"" dåligt?",ENTY:sport,2,21
303,Vilken Doonesbury karaktär skulle sannolikt förvandlas till en varulv?,HUM:ind,5,30
304,Vad är förkortningen för mikro?,ABBR:abb,1,0
305,Vilka är de sju artiklarna i konstitutionen?,ENTY:other,2,17
306,Vem har vunnit flest Super Bowls?,HUM:gr,5,29
307,Vad står NASDAQ för?,ABBR:exp,1,1
308,Vad är BPH?,ABBR:exp,1,1
309,Vilken är den snabbaste kommersiella bilen som kan köpas i USA?,ENTY:other,2,17
310,På vilken stadion spelar Miami Dolphins sina hemmamatcher?,LOC:other,4,35
311,"Vem har den enda talarrollen i ""Silent Movie""?",HUM:ind,5,30
312,Varför är bajs ibland olika färger?,DESC:reason,0,5
313,Vad var Einsteins IQ?,NUM:other,3,43
314,Vilken dag attackerades Pearl Harbor 1942?,NUM:date,3,39
315,"Vilket tjejnamn är ""Teddy"" en tillgiven form av?",HUM:ind,5,30
316,Vilken stat är John F. Kennedy begravd i?,LOC:state,4,36
317,Vad är det bästa sättet att ta bort tapeter?,ENTY:techmeth,2,24
318,Vilken amerikansk stat har ett element namngiven efter sig?,LOC:state,4,36
319,Vilket företag presenterar omröstningarna i omröstningen om Oscar-utmärkelsen?,HUM:gr,5,29
320,Hur började traditionen med bröllopsmarskalk?,DESC:manner,0,4
321,Hur många år sedan sjönk fartyget Titanic?,NUM:count,3,38
322,Vad är det djupaste området i Arktiska havet?,LOC:other,4,35
323,Vilka är Halloweens färger?,ENTY:color,2,8
324,Hur görs silkescreening?,DESC:manner,0,4
325,"Vad är latitud och longitud för El Paso, Texas?",NUM:other,3,43
326,Vem gjorde en båt av gopher trä?,HUM:ind,5,30
327,"Var kan jag hitta en ""Fifth Element"" skärmsläckare?",LOC:other,4,35
328,Vem bosatt i Bloom County gör kaos med en dator?,HUM:ind,5,30
329,Hur matchar du ett namn till ett personnummer?,DESC:manner,0,4
330,Hur bildas en regnbåge?,DESC:manner,0,4
331,Vad är den normala vilopulsen hos en frisk vuxen?,NUM:other,3,43
332,Vad är befolkningen i Ohio?,NUM:other,3,43
333,Hur många kalorier finns det i en Big Mac?,NUM:count,3,38
334,Hazmat står för vad?,DESC:def,0,2
335,"Vilken varelse skrämmer människor i filmen ""Jaws""?",ENTY:animal,2,6
336,Vilken roll spelade John Peter Zenger i utvecklingen av tidningen i Amerika?,HUM:ind,5,30
337,Vem följde Caesar?,HUM:ind,5,30
338,Vilka är de fyra elementen?,ENTY:substance,2,22
339,Vem var den första kvinnliga golfaren som tjänade en miljon?,HUM:ind,5,30
340,Vilken är det längsta pjäsen på ett schackbräde?,ENTY:other,2,17
341,Vad är Answers.coms adress?,LOC:other,4,35
342,Var kan jag köpa filmer på videoband online?,LOC:other,4,35
343,Vem annonserar för Frito-Lay?,HUM:ind,5,30
344,Vem är den ledande konkurrenten för Trans Union Company?,HUM:gr,5,29
345,Vilken produkt utmanade Robert Conrad folk att slå av hans axel?,ENTY:product,2,19
346,Vem uppfann radion?,HUM:ind,5,30
347,Vad motsvarar den amerikanska dollarn för 8 pund i Storbritannien?,NUM:count,3,38
348,Vilka är de olika metoderna för systemanalys?,ENTY:techmeth,2,24
349,Hur diagnostiserar läkare bencancer?,DESC:manner,0,4
350,Vem är mannen bakom grisen - mannen som drar i trådarna och talar för Miss Piggy?,HUM:ind,5,30
351,Vad är Mississippiflodens hastighet?,NUM:speed,3,46
352,Vilka är utvecklingsstadierna för en simmare?,ENTY:other,2,17
353,Vilken skådespelare skildrade först James Bond?,HUM:ind,5,30
354,Vilket hav är det största i världen?,LOC:other,4,35
355,Vem var den första amerikanska poeten som vann Nobelpriset för litteratur 1948?,HUM:ind,5,30
356,Vilket år deltog Jack Nicklaus i Professional Golfers Association-turnén?,NUM:date,3,39
357,Hur många sonetter skrev Shakespeare?,NUM:count,3,38
358,Vad orsakar rodnad i dina kinder när du rodnar?,DESC:reason,0,5
359,Vem vann Nobels fredspris 1991?,HUM:ind,5,30
360,Vilka är de okändes utmanare?,HUM:gr,5,29
361,Definiera Pheonix Club?,DESC:def,0,2
362,Vilken stad kämpade kristna korsfarare för att återta från muslimerna?,LOC:city,4,32
363,"Vad betyder ""Rupie depreciates""?",DESC:def,0,2
364,"Vilka spelanordningar kallades ""Mississippi-marbles"" och ""Memphis dominoes""?",ENTY:other,2,17
365,Vem var Cleveland Browns första tränare?,HUM:ind,5,30
366,Hur framgångsrikt är aromterapi?,DESC:manner,0,4
367,Vilken judisk helgdag började Mellanösternkriget 1973?,ENTY:event,2,12
368,Hur fungerar en kopiator?,DESC:manner,0,4
369,Vad är Mississippiflodens hastighet?,NUM:speed,3,46
370,"Vem sa om Super Bowl III 1969: ""Vi vinner - jag garanterar det""?",HUM:ind,5,30
371,Vad heter Dudley Do-Rights häst?,ENTY:animal,2,6
372,"Vem förklarade: ""Jag tycker om horor och jag kan inte sluta""?",HUM:ind,5,30
373,Var kommer choklad ifrån?,LOC:other,4,35
374,Vilket TV-spelprogram såg en tävlande en gång erkänna att han plockar tårna i duschen?,ENTY:cremat,2,9
375,Vilken sovjetisk ledare ägde en Rolls-Royce?,HUM:ind,5,30
376,Var kan jag hitta ett ärende om lagen om personer med funktionshinderutbildning från 1991?,LOC:other,4,35
377,Vilket krig skötte Florence Nightingale trupperna i?,ENTY:event,2,12
378,"Vem skrev låten ""Stardust""?",HUM:ind,5,30
379,Hur många Beatles skivor blev nummer 1?,NUM:count,3,38
380,Vem är den enda statsministern i Kanada som tjänade 22 år men inte nödvändigtvis i följd?,HUM:ind,5,30
381,"Vad är förkortningen av företagsnamnet ""General Motors""?",ABBR:abb,1,0
382,Vilka berg ligger mellan floderna Arkansas och Missouri?,LOC:mount,4,34
383,Vem fick Will Rogers Award 1989?,HUM:ind,5,30
384,Vilken funktion har RAM?,DESC:reason,0,5
385,Vilken är den närmaste G2 Spectrum Yellow Dwarf till jorden?,LOC:other,4,35
386,Hur många lika vinklar finns det i en likbent triangel?,NUM:count,3,38
387,Vad kallas rädslan för kackerlackor?,ENTY:dismed,2,11
388,Vilken CBS-såpopera avbröts av bulletin om John F. Kennedys mördande?,ENTY:cremat,2,9
389,Vad är nyttan av en 24-timmarsur istället för en 12-timmarsur?,DESC:desc,0,3
390,Vad hette advokaten som representerade Randy Craft?,HUM:ind,5,30
391,Vilken USA:s president drömde om att han mördades?,HUM:ind,5,30
392,Vilken film vann Lee Marvin 1965 Oscar för bästa skådespelare?,ENTY:cremat,2,9
393,Var ligger Baskien?,LOC:other,4,35
394,"Vilken produkt marknadsför ""Mrs. Olsen""?",ENTY:product,2,19
395,Vilken tid på dagen dog kejsaren Hirohito?,NUM:date,3,39
396,Vad är torris?,DESC:def,0,2
397,Vad är det mest kraftfulla kortet i Euchre?,ENTY:other,2,17
398,"Vad betyder ""intractable plantar keratoma""?",DESC:def,0,2
399,Hur många år tog det James Joyce att skriva Ulysses?,NUM:count,3,38
